"game_id","opponent","play_index","quarter","possession","row_type","down","distance","Goal_To_Go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20251018_uxv5","Gettysburg",1,"1",,"kickoff",,,,,,"kickoff",,"","Nolan Kruse kickoff 37 yards to the CMU28, Brendan McCullo return 5 yards to the CMU33 (Kevin Regula)."
"20251018_uxv5","Gettysburg",2,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",33,"rush",1,"1st and 10 at CMU33","Giacomo Valente rush for 1 yard to the CMU34 (Brandon Wu)."
"20251018_uxv5","Gettysburg",3,"1","Carnegie Mellon","play",2,9,FALSE,"CMU",34,"rush",5,"2nd and 9 at CMU34","Giacomo Valente rush for 5 yards to the CMU39 (Zach Chostaka; Danny Breheney)."
"20251018_uxv5","Gettysburg",4,"1","Carnegie Mellon","play",3,4,FALSE,"CMU",39,"pass_complete",20,"3rd and 4 at CMU39","Joey McGinnis I pass complete to Reece Kolke for 20 yards to the GC41 (Ty Can)."
"20251018_uxv5","Gettysburg",5,"1","Carnegie Mellon","play",1,10,FALSE,"GC",41,"pass_incomplete",0,"1st and 10 at GC41","Joey McGinnis I pass incomplete to Brendan McCullo (Ty Can)."
"20251018_uxv5","Gettysburg",6,"1","Carnegie Mellon","play",2,10,FALSE,"GC",41,"pass_incomplete",0,"2nd and 10 at GC41","Joey McGinnis I pass incomplete to Nick McCullough, dropped pass."
"20251018_uxv5","Gettysburg",7,"1","Carnegie Mellon","play",3,10,FALSE,"GC",41,"rush",3,"3rd and 10 at GC41","Joey McGinnis I rush for 3 yards to the GC38 (Zach Chostaka; Tyler Wells), out-of-bounds."
"20251018_uxv5","Gettysburg",8,"1","Carnegie Mellon","play",4,7,FALSE,"GC",38,"punt_no_return",,"4th and 7 at GC38","John Norell punt 23 yards to the GC15, downed."
"20251018_uxv5","Gettysburg",9,"1","Gettysburg","play",1,10,FALSE,"GC",15,"pass_incomplete",0,"1st and 10 at GC15","Sean Clark pass incomplete to Nick Wonsala, dropped pass."
"20251018_uxv5","Gettysburg",10,"1","Gettysburg","play",2,10,FALSE,"GC",15,"rush",3,"2nd and 10 at GC15","Michael Zrelak rush for 3 yards to the GC18 (Jack Lawson; Victor Ruhland)."
"20251018_uxv5","Gettysburg",11,"1","Gettysburg","play",3,7,FALSE,"GC",18,"pass_incomplete",0,"3rd and 7 at GC18","Sean Clark pass incomplete to Josh Burke (DJ Johnson)."
"20251018_uxv5","Gettysburg",12,"1","Gettysburg","play",4,7,FALSE,"GC",18,"rush",-10,"4th and 7 at GC18","Kevin Regula rush for loss of 10 yards to the GC08, fumble by Kevin Regula recovered by CMU DJ Johnson at GC01."
"20251018_uxv5","Gettysburg",13,"1","Carnegie Mellon","play",1,1,TRUE,"GC",1,"rush",1,"1st and Goal at GC01","Giacomo Valente rush for 1 yard to the GC00, TOUCHDOWN, clock 11:10."
"20251018_uxv5","Gettysburg",14,"1","Carnegie Mellon","extra_point",,,,,,"extra_point",,"","Justin Caputo kick attempt good."
"20251018_uxv5","Gettysburg",15,"1","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 55 yards to the GC10, Kevin Regula return 33 yards to the GC43 (Noah Godhard), out-of-bounds."
"20251018_uxv5","Gettysburg",16,"1","Gettysburg","play",1,10,FALSE,"GC",43,"rush",2,"1st and 10 at GC43","Michael Zrelak rush for 2 yards to the GC45 (Leighton Tarke)."
"20251018_uxv5","Gettysburg",17,"1","Gettysburg","play",2,8,FALSE,"GC",45,"rush",-1,"2nd and 8 at GC45","Michael Zrelak rush for loss of 1 yard to the GC44 (Bennett Grace; Lucas Hazard)."
"20251018_uxv5","Gettysburg",18,"1","Gettysburg","play",3,9,FALSE,"GC",44,"pass_complete",4,"3rd and 9 at GC44","Sean Clark pass complete to Nick Wonsala for 4 yards to the GC48 (Bennett Grace)."
"20251018_uxv5","Gettysburg",19,"1","Gettysburg","play",4,5,FALSE,"GC",48,"punt_with_return",,"4th and 5 at GC48","Dan Vanarsdale punt 34 yards to the CMU18, Brendan McCullo return 8 yards to the CMU26 (Nate DeLorenzo)."
"20251018_uxv5","Gettysburg",20,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",26,"rush",7,"1st and 10 at CMU26","Giacomo Valente rush for 7 yards to the CMU33 (Mike Bendowski; Ty Can)."
"20251018_uxv5","Gettysburg",21,"1","Carnegie Mellon","play",2,3,FALSE,"CMU",33,"rush",9,"2nd and 3 at CMU33","Giacomo Valente rush for 9 yards to the CMU42 (Justin Rhyne)."
"20251018_uxv5","Gettysburg",22,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",42,"pass_complete",13,"1st and 10 at CMU42","Joey McGinnis I pass complete to Reece Kolke for 13 yards to the GC45 (Ty Can; Tyler Wells)."
"20251018_uxv5","Gettysburg",23,"1","Carnegie Mellon","play",1,10,FALSE,"GC",45,"pass_complete",18,"1st and 10 at GC45","Joey McGinnis I pass complete to Reece Kolke for 18 yards to the GC27."
"20251018_uxv5","Gettysburg",24,"1","Carnegie Mellon","play",1,10,FALSE,"GC",27,"rush",9,"1st and 10 at GC27","Joey McGinnis I rush for 9 yards to the GC18 (Ty Can), out-of-bounds."
"20251018_uxv5","Gettysburg",25,"1","Carnegie Mellon","penalty_no_play",2,1,FALSE,"GC",18,"penalty_no_play",,"2nd and 1 at GC18","PENALTY CMU false start (Charlie Katarin) 5 yards to the GC23."
"20251018_uxv5","Gettysburg",26,"1","Carnegie Mellon","play",2,6,FALSE,"GC",23,"rush",2,"2nd and 6 at GC23","Shadrak Agyei rush for 2 yards to the GC21 (Alex Estes)."
"20251018_uxv5","Gettysburg",27,"1","Carnegie Mellon","play",3,4,FALSE,"GC",21,"pass_complete",21,"3rd and 4 at GC21","Joey McGinnis I pass complete to Carter Sheets for 21 yards to the GC00, TOUCHDOWN, clock 05:46, PENALTY CMU ineligible man down field (Conor Gaul) 5 yards to the GC26, NO PLAY."
"20251018_uxv5","Gettysburg",28,"1","Carnegie Mellon","play",3,9,FALSE,"GC",26,"rush",3,"3rd and 9 at GC26","Joey McGinnis I rush for 3 yards to the GC23 (Brandon Wu), out-of-bounds."
"20251018_uxv5","Gettysburg",29,"1","Carnegie Mellon","play",4,6,FALSE,"GC",23,"field_goal_missed",,"4th and 6 at GC23","Justin Caputo field goal attempt from 41 MISSED - hit right up right, spot at GC24."
"20251018_uxv5","Gettysburg",30,"1","Gettysburg","play",1,10,FALSE,"GC",24,"pass_complete",9,"1st and 10 at GC24","Sean Clark pass complete to James McCarren for 9 yards to the GC33 (Ethan Ming)."
"20251018_uxv5","Gettysburg",31,"1","Gettysburg","play",2,1,FALSE,"GC",33,"sack",-3,"2nd and 1 at GC33","Sean Clark sacked for loss of 3 yards to the GC30 (Mitchell Stokey)."
"20251018_uxv5","Gettysburg",32,"1","Gettysburg","play",3,4,FALSE,"GC",30,"rush",4,"3rd and 4 at GC30","Michael Zrelak rush for 4 yards to the GC34 (Ethan Ming)."
"20251018_uxv5","Gettysburg",33,"1","Gettysburg","play",1,10,FALSE,"GC",34,"pass_complete",16,"1st and 10 at GC34","Sean Clark pass complete to Josh Burke for 16 yards to the 50 yardline (Enzo DeFranco)."
"20251018_uxv5","Gettysburg",34,"1","Gettysburg","play",1,10,FALSE,"GC",50,"rush",-2,"1st and 10 at GC50","Michael Zrelak rush for loss of 2 yards to the GC48 (Bennett Grace)."
"20251018_uxv5","Gettysburg",35,"1","Gettysburg","play",2,12,FALSE,"GC",48,"rush",5,"2nd and 12 at GC48","Michael Zrelak rush for 5 yards to the CMU47 (Gabe Bonnet)."
"20251018_uxv5","Gettysburg",36,"1","Gettysburg","play",3,7,FALSE,"CMU",47,"pass_complete",5,"3rd and 7 at CMU47","Sean Clark pass complete to Jason Roskam for 5 yards to the CMU42 (Enzo DeFranco), out-of-bounds."
"20251018_uxv5","Gettysburg",37,"1","Gettysburg","play",4,2,FALSE,"CMU",42,"pass_complete",5,"4th and 2 at CMU42","Sean Clark pass complete to Jason Roskam for 5 yards to the CMU37 (Jack Lawson)."
"20251018_uxv5","Gettysburg",38,"1","Gettysburg","play",1,10,FALSE,"CMU",37,"pass_incomplete",0,"1st and 10 at CMU37","Sean Clark pass incomplete to James McCarren, dropped pass."
"20251018_uxv5","Gettysburg",39,"1","Gettysburg","play",2,10,FALSE,"CMU",37,"rush",8,"2nd and 10 at CMU37","Michael Zrelak rush for 8 yards to the CMU29 (Leighton Tarke)."
"20251018_uxv5","Gettysburg",40,"1","Gettysburg","play",3,2,FALSE,"CMU",29,"rush",-3,"3rd and 2 at CMU29","Michael Zrelak rush for loss of 3 yards to the CMU32 (Bennett Grace)."
"20251018_uxv5","Gettysburg",41,"2","Gettysburg","penalty_no_play",4,5,FALSE,"CMU",32,"penalty_no_play",,"4th and 5 at CMU32","PENALTY GC false start (David Ludwig) 5 yards to the CMU37."
"20251018_uxv5","Gettysburg",42,"2","Gettysburg","play",4,10,FALSE,"CMU",37,"pass_complete",24,"4th and 10 at CMU37","Sean Clark pass complete to Jason Roskam for 24 yards to the CMU13 (Barrett Schmitz)."
"20251018_uxv5","Gettysburg",43,"2","Gettysburg","play",1,10,FALSE,"CMU",13,"pass_incomplete",0,"1st and 10 at CMU13","Sean Clark pass incomplete to Matt OConnor, QB hurry by Amani Tchamwa."
"20251018_uxv5","Gettysburg",44,"2","Gettysburg","play",2,10,FALSE,"CMU",13,"rush",-3,"2nd and 10 at CMU13","Michael Zrelak rush for loss of 3 yards to the CMU16 (Ethan Ming), out-of-bounds."
"20251018_uxv5","Gettysburg",45,"2","Gettysburg","play",3,13,FALSE,"CMU",16,"pass_complete",6,"3rd and 13 at CMU16","Sean Clark pass complete to Jackson Field for 6 yards to the CMU10 (Jacob Franze)."
"20251018_uxv5","Gettysburg",46,"2","Gettysburg","play",4,7,FALSE,"CMU",10,"pass_incomplete",0,"4th and 7 at CMU10","Sean Clark pass incomplete to Michael Zrelak, QB hurry by Bennett Grace."
"20251018_uxv5","Gettysburg",47,"2","Carnegie Mellon","play",1,10,FALSE,"CMU",10,"pass_complete",5,"1st and 10 at CMU10","Joey McGinnis I pass complete to Reece Kolke for 5 yards to the CMU15 (Tyler Wells)."
